,Gold,Crude Oil,Fed Funds Rate
2021-04-06,1741.5,59.33000183105469,0.07
2021-04-07,1740.0999755859375,59.77000045776367,0.07
2021-04-08,1756.800048828125,59.599998474121094,0.07
2021-04-09,1743.300048828125,59.31999969482422,0.07
2021-04-12,1731.199951171875,59.70000076293945,0.07
2021-04-13,1746.199951171875,60.18000030517578,0.07
2021-04-14,1734.9000244140625,63.150001525878906,0.07
2021-04-15,1765.4000244140625,63.459999084472656,0.07
2021-04-16,1779.0,63.130001068115234,0.07
2021-04-19,1769.4000244140625,63.380001068115234,0.07
2021-04-20,1777.300048828125,62.439998626708984,0.07
2021-04-21,1792.300048828125,61.349998474121094,0.07
2021-04-22,1781.199951171875,61.43000030517578,0.07
2021-04-23,1777.0,62.13999938964844,0.07
2021-04-26,1779.199951171875,61.90999984741211,0.07
2021-04-27,1778.0,62.939998626708984,0.07
2021-04-28,1773.199951171875,63.86000061035156,0.07
2021-04-29,1768.0999755859375,65.01000213623047,0.06
2021-04-30,1767.300048828125,63.58000183105469,0.05
2021-05-03,1791.4000244140625,64.48999786376953,0.06
2021-05-04,1775.800048828125,65.69000244140625,0.06
2021-05-05,1784.0999755859375,65.62999725341797,0.06
2021-05-06,1815.5,64.70999908447266,0.06
2021-05-07,1831.0999755859375,64.9000015258789,0.06
2021-05-10,1837.5,64.91999816894531,0.06
2021-05-11,1835.9000244140625,65.27999877929688,0.06
2021-05-12,1822.5999755859375,66.08000183105469,0.06
2021-05-13,1823.800048828125,63.81999969482422,0.06
2021-05-14,1837.9000244140625,65.37000274658203,0.06
2021-05-17,1867.5,66.2699966430664,0.06
2021-05-18,1867.800048828125,65.48999786376953,0.06
2021-05-19,1881.300048828125,63.36000061035156,0.06
2021-05-20,1881.800048828125,62.04999923706055,0.06
2021-05-21,1876.699951171875,63.58000183105469,0.06
2021-05-24,1884.5999755859375,66.05000305175781,0.06
2021-05-25,1898.0999755859375,66.06999969482422,0.06
2021-05-26,1901.300048828125,66.20999908447266,0.06
2021-05-27,1895.699951171875,66.8499984741211,0.06
2021-05-28,1902.5,66.31999969482422,0.05
2021-06-01,1902.9000244140625,67.72000122070312,0.06
2021-06-02,1907.5,68.83000183105469,0.06
2021-06-03,1871.199951171875,68.80999755859375,0.06
2021-06-04,1889.800048828125,69.62000274658203,0.06
2021-06-07,1896.800048828125,69.2300033569336,0.06
2021-06-08,1892.199951171875,70.05000305175781,0.06
2021-06-09,1893.199951171875,69.95999908447266,0.06
2021-06-10,1894.199951171875,70.29000091552734,0.06
2021-06-11,1877.4000244140625,70.91000366210938,0.06
2021-06-14,1864.0,70.87999725341797,0.06
2021-06-15,1854.5,72.12000274658203,0.06
2021-06-16,1859.5,72.1500015258789,0.06
2021-06-17,1773.800048828125,71.04000091552734,0.1
2021-06-18,1767.9000244140625,71.63999938964844,0.1
2021-06-21,1781.800048828125,73.66000366210938,0.1
2021-06-22,1776.300048828125,73.05999755859375,0.1
2021-06-23,1782.300048828125,73.08000183105469,0.1
2021-06-24,1775.5999755859375,73.30000305175781,0.1
2021-06-25,1776.5999755859375,74.05000305175781,0.1
2021-06-28,1779.5999755859375,72.91000366210938,0.1
2021-06-29,1762.800048828125,72.9800033569336,0.1
2021-06-30,1770.800048828125,73.47000122070312,0.08
2021-07-01,1775.9000244140625,75.2300033569336,0.1
2021-07-02,1782.5999755859375,75.16000366210938,0.1
2021-07-06,1793.5,73.37000274658203,0.1
2021-07-07,1801.5,72.19999694824219,0.1
2021-07-08,1799.5999755859375,72.94000244140625,0.1
2021-07-09,1810.0,74.55999755859375,0.1
2021-07-12,1805.5,74.0999984741211,0.1
2021-07-13,1809.4000244140625,75.25,0.1
2021-07-14,1824.300048828125,73.12999725341797,0.1
2021-07-15,1828.4000244140625,71.6500015258789,0.1
2021-07-16,1814.5,71.80999755859375,0.1
2021-07-19,1808.699951171875,66.41999816894531,0.1
2021-07-20,1810.9000244140625,67.41999816894531,0.1
2021-07-21,1802.9000244140625,70.30000305175781,0.1
2021-07-22,1805.0,71.91000366210938,0.1
2021-07-23,1801.4000244140625,72.06999969482422,0.1
2021-07-26,1798.699951171875,71.91000366210938,0.1
2021-07-27,1799.5,71.6500015258789,0.1
2021-07-28,1799.5,72.38999938964844,0.1
2021-07-29,1831.199951171875,73.62000274658203,0.1
2021-07-30,1812.5999755859375,73.94999694824219,0.07
2021-08-02,1818.0999755859375,71.26000213623047,0.1
2021-08-03,1810.0999755859375,70.55999755859375,0.1
2021-08-04,1810.5,68.1500015258789,0.1
2021-08-05,1805.0999755859375,69.08999633789062,0.1
2021-08-06,1760.0,68.27999877929688,0.1
2021-08-09,1723.4000244140625,66.4800033569336,0.1
2021-08-10,1728.800048828125,68.29000091552734,0.1
2021-08-11,1750.4000244140625,69.25,0.1
2021-08-12,1749.0,69.08999633789062,0.1
2021-08-13,1775.199951171875,68.44000244140625,0.1
2021-08-16,1786.9000244140625,67.29000091552734,0.1
2021-08-17,1785.0,66.58999633789062,0.1
2021-08-18,1781.5999755859375,65.45999908447266,0.09
2021-08-19,1780.199951171875,63.689998626708984,0.09
2021-08-20,1781.0,62.31999969482422,0.09
2021-08-23,1803.199951171875,65.63999938964844,0.09
2021-08-24,1805.5999755859375,67.54000091552734,0.09
2021-08-25,1788.199951171875,68.36000061035156,0.09
2021-08-26,1792.199951171875,67.41999816894531,0.09
2021-08-27,1816.5999755859375,68.73999786376953,0.08
2021-08-30,1809.0,69.20999908447266,0.08
2021-08-31,1815.0,68.5,0.06
2021-09-01,1813.0999755859375,68.58999633789062,0.08
2021-09-02,1808.699951171875,69.98999786376953,0.08
2021-09-03,1830.9000244140625,69.29000091552734,0.08
2021-09-07,1795.9000244140625,68.3499984741211,0.08
2021-09-08,1790.699951171875,69.30000305175781,0.08
2021-09-09,1797.4000244140625,68.13999938964844,0.08
2021-09-10,1789.5999755859375,69.72000122070312,0.08
2021-09-13,1792.0,70.44999694824219,0.08
2021-09-14,1804.699951171875,70.45999908447266,0.08
2021-09-15,1792.4000244140625,72.61000061035156,0.08
2021-09-16,1754.5999755859375,72.61000061035156,0.08
2021-09-17,1749.4000244140625,71.97000122070312,0.08
2021-09-20,1761.800048828125,70.29000091552734,0.08
2021-09-21,1776.0,70.55999755859375,0.08
2021-09-22,1776.699951171875,72.2300033569336,0.08
2021-09-23,1747.699951171875,73.30000305175781,0.08
2021-09-24,1749.699951171875,73.9800033569336,0.08
2021-09-27,1750.0,75.44999694824219,0.08
2021-09-28,1735.800048828125,75.29000091552734,0.08
2021-09-29,1721.5,74.83000183105469,0.08
2021-09-30,1755.300048828125,75.02999877929688,0.06
2021-10-01,1757.0,75.87999725341797,0.08
2021-10-04,1766.199951171875,77.62000274658203,0.08
2021-10-05,1759.5999755859375,78.93000030517578,0.08
2021-10-06,1760.5,77.43000030517578,0.08
2021-10-07,1757.9000244140625,78.30000305175781,0.08
2021-10-08,1756.300048828125,79.3499984741211,0.08
2021-10-12,1758.300048828125,80.63999938964844,0.08
2021-10-13,1793.699951171875,80.44000244140625,0.08
2021-10-14,1796.699951171875,81.30999755859375,0.08
2021-10-15,1767.199951171875,82.27999877929688,0.08
2021-10-18,1764.800048828125,82.44000244140625,0.08
2021-10-19,1769.699951171875,82.95999908447266,0.08
2021-10-20,1784.0999755859375,83.87000274658203,0.08
2021-10-21,1781.199951171875,82.5,0.08
2021-10-22,1795.5,83.76000213623047,0.08
2021-10-25,1806.0,83.76000213623047,0.08
2021-10-26,1792.699951171875,84.6500015258789,0.08
2021-10-27,1797.9000244140625,82.66000366210938,0.08
2021-10-28,1801.5999755859375,82.80999755859375,0.08
2021-10-29,1783.0,83.56999969482422,0.07
2021-11-01,1795.0999755859375,84.05000305175781,0.08
2021-11-02,1788.699951171875,83.91000366210938,0.08
2021-11-03,1763.5999755859375,80.86000061035156,0.08
2021-11-04,1793.0,78.80999755859375,0.08
2021-11-05,1816.4000244140625,81.2699966430664,0.08
2021-11-08,1827.4000244140625,81.93000030517578,0.08
2021-11-09,1830.199951171875,84.1500015258789,0.08
2021-11-10,1847.5999755859375,81.33999633789062,0.08
2021-11-12,1867.9000244140625,80.79000091552734,0.08
2021-11-15,1866.0999755859375,80.87999725341797,0.08
2021-11-16,1853.5999755859375,80.76000213623047,0.08
2021-11-17,1869.699951171875,78.36000061035156,0.08
2021-11-18,1861.0,79.01000213623047,0.08
2021-11-19,1851.199951171875,76.0999984741211,0.08
2021-11-22,1806.0,76.75,0.08
2021-11-23,1783.5,78.5,0.08
2021-11-24,1784.0999755859375,78.38999938964844,0.08
2021-11-26,1785.300048828125,68.1500015258789,0.08
2021-11-29,1782.300048828125,69.94999694824219,0.08
2021-11-30,1773.5999755859375,66.18000030517578,0.07
2021-12-01,1781.5999755859375,65.56999969482422,0.08
2021-12-02,1760.699951171875,66.5,0.08
2021-12-03,1782.0,66.26000213623047,0.08
2021-12-06,1777.5,69.48999786376953,0.08
2021-12-07,1782.5999755859375,72.05000305175781,0.08
2021-12-08,1783.4000244140625,72.36000061035156,0.08
2021-12-09,1774.5999755859375,70.94000244140625,0.08
2021-12-10,1782.9000244140625,71.66999816894531,0.08
2021-12-13,1786.300048828125,71.29000091552734,0.08
2021-12-14,1770.4000244140625,70.7300033569336,0.08
2021-12-15,1762.5999755859375,70.87000274658203,0.08
2021-12-16,1796.5999755859375,72.37999725341797,0.08
2021-12-17,1803.800048828125,70.86000061035156,0.08
2021-12-20,1793.699951171875,68.2300033569336,0.08
2021-12-21,1787.9000244140625,71.12000274658203,0.08
2021-12-22,1801.5999755859375,72.76000213623047,0.08
2021-12-23,1811.199951171875,73.79000091552734,0.08
2021-12-27,1808.0999755859375,75.56999969482422,0.08
2021-12-28,1810.199951171875,75.9800033569336,0.08
2021-12-29,1805.0999755859375,76.55999755859375,0.08
2021-12-30,1812.699951171875,76.98999786376953,0.08
2021-12-31,1827.5,75.20999908447266,0.07
2022-01-03,1799.4000244140625,76.08000183105469,0.08
2022-01-04,1814.0,76.98999786376953,0.08
2022-01-05,1824.5999755859375,77.8499984741211,0.08
2022-01-06,1788.699951171875,79.45999908447266,0.08
2022-01-07,1797.0,78.9000015258789,0.08
2022-01-10,1798.4000244140625,78.2300033569336,0.08
2022-01-11,1818.5999755859375,81.22000122070312,0.08
2022-01-12,1827.199951171875,82.63999938964844,0.08
2022-01-13,1821.199951171875,82.12000274658203,0.08
2022-01-14,1816.5,83.81999969482422,0.08
2022-01-18,1812.300048828125,85.43000030517578,0.08
2022-01-19,1843.0999755859375,86.95999908447266,0.08
2022-01-20,1842.5,86.9000015258789,0.08
2022-01-21,1831.800048828125,85.13999938964844,0.08
2022-01-24,1841.699951171875,83.30999755859375,0.08
2022-01-25,1852.699951171875,85.5999984741211,0.08
2022-01-26,1829.9000244140625,87.3499984741211,0.08
2022-01-27,1793.300048828125,86.61000061035156,0.08
2022-01-28,1784.9000244140625,86.81999969482422,0.08
2022-01-31,1795.0,88.1500015258789,0.08
2022-02-01,1800.300048828125,88.19999694824219,0.08
2022-02-02,1809.199951171875,88.26000213623047,0.08
2022-02-03,1803.0,90.2699966430664,0.08
2022-02-04,1806.5999755859375,92.30999755859375,0.08
2022-02-07,1820.5999755859375,91.31999969482422,0.08
2022-02-08,1826.5999755859375,89.36000061035156,0.08
2022-02-09,1835.199951171875,89.66000366210938,0.08
2022-02-10,1836.199951171875,89.87999725341797,0.08
2022-02-11,1840.800048828125,93.0999984741211,0.08
2022-02-14,1868.0,95.45999908447266,0.08
2022-02-15,1854.800048828125,92.06999969482422,0.08
2022-02-16,1870.199951171875,93.66000366210938,0.08
2022-02-17,1900.699951171875,91.76000213623047,0.08
2022-02-18,1898.5999755859375,91.06999969482422,0.08
2022-02-22,1906.0999755859375,92.3499984741211,0.08
2022-02-23,1909.199951171875,92.0999984741211,0.08
2022-02-24,1925.0999755859375,92.80999755859375,0.08
2022-02-25,1886.5,91.58999633789062,0.08
2022-02-28,1899.4000244140625,95.72000122070312,0.08
2022-03-01,1942.4000244140625,103.41000366210938,0.08
2022-03-02,1920.9000244140625,110.5999984741211,0.08
2022-03-03,1934.4000244140625,107.66999816894531,0.08
2022-03-04,1965.0999755859375,115.68000030517578,0.08
2022-03-07,1993.9000244140625,119.4000015258789,0.08
2022-03-08,2040.0999755859375,123.69999694824219,0.08
2022-03-09,1985.9000244140625,108.69999694824219,0.08
2022-03-10,1998.0999755859375,106.0199966430664,0.08
2022-03-11,1982.699951171875,109.33000183105469,0.08
2022-03-14,1959.5999755859375,103.01000213623047,0.08
2022-03-15,1928.5,96.44000244140625,0.08
2022-03-16,1908.0,95.04000091552734,0.08
2022-03-17,1942.0999755859375,102.9800033569336,0.33
2022-03-18,1928.199951171875,104.69999694824219,0.33
2022-03-21,1928.5999755859375,112.12000274658203,0.33
2022-03-22,1920.699951171875,111.76000213623047,0.33
2022-03-23,1936.5999755859375,114.93000030517578,0.33
2022-03-24,1961.5999755859375,112.33999633789062,0.33
2022-03-25,1953.800048828125,113.9000015258789,0.33
2022-03-28,1939.5999755859375,105.95999908447266,0.33
2022-03-29,1912.0,104.23999786376953,0.33
2022-03-30,1933.5,107.81999969482422,0.33
2022-03-31,1949.199951171875,100.27999877929688,0.33
2022-04-01,1919.0999755859375,99.2699966430664,0.33
2022-04-04,1929.199951171875,103.27999877929688,0.33
2022-04-05,1922.9000244140625,101.95999908447266,0.33
2022-04-06,1918.4000244140625,96.2300033569336,0.33
2022-04-07,1933.800048828125,96.02999877929688,0.33
2022-04-08,1941.5999755859375,98.26000213623047,0.33
2022-04-11,1944.300048828125,94.29000091552734,0.33
2022-04-12,1972.0999755859375,100.5999984741211,0.33
2022-04-13,1981.0,104.25,0.33
2022-04-14,1970.9000244140625,106.94999694824219,0.33
2022-04-18,1982.9000244140625,108.20999908447266,0.33
2022-04-19,1955.699951171875,102.55999755859375,0.33
2022-04-20,1952.300048828125,102.75,0.33
2022-04-21,1944.9000244140625,103.79000091552734,0.33
2022-04-22,1931.0,102.06999969482422,0.33
2022-04-25,1893.199951171875,98.54000091552734,0.33
2022-04-26,1901.4000244140625,101.69999694824219,0.33
2022-04-27,1885.9000244140625,102.0199966430664,0.33
2022-04-28,1888.699951171875,105.36000061035156,0.33
2022-04-29,1909.300048828125,104.69000244140625,0.33
